version,size,arr0,arr1,arr2,arr3,time_alloc,time_init,time_seq_baseline,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,verification,user
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000047,0.124955,0.0,0.000000,0.013646,0.006321,0.000000,0.144969,PASS,ea24205
sequential,50000000,45000000,45000000,45000000,45000000,0.000190,0.550253,0.0,0.0,0.107878,0.0,0.0,0.686747,PASS,ea24205
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000046,0.610846,0.0,0.000000,0.136566,0.027346,0.000000,0.774804,PASS,ea24205
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000044,0.609662,0.0,0.000000,0.081919,0.027882,0.000000,0.719507,PASS,ea24205
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000046,0.605769,0.0,0.000000,0.039709,0.027312,0.000000,0.672836,PASS,ea24205
sequential,100000000,90000000,90000000,90000000,90000000,0.000050,1.055198,0.0,0.0,0.212457,0.0,0.0,1.321535,PASS,ea24205
parallel_unpadded,100000000,90000000,90000000,90000000,90000001,0.000081,1.222812,0.0,0.000000,0.301729,0.053360,0.000000,1.577982,PASS,ea24205
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000141,1.245529,0.0,0.000000,0.324985,0.053089,0.000000,1.623744,PASS,ea24205
parallel_local_accum,100000000,90000000,90000001,90000000,90000000,0.000047,1.222914,0.0,0.000000,0.077682,0.053321,0.000000,1.353964,PASS,ea24205
sequential,100000,90000,90000,90000,90000,0.000159,0.003766,0.0,0.0,0.000676,0.0,0.0,0.004825,PASS,ea24205
parallel_unpadded,100000,90000,90000,90000,90000,0.000136,0.004102,0.0,0.000000,0.001412,0.000229,0.000000,0.005879,PASS,ea24205
parallel_padded,100000,90000,90000,90000,90000,0.000149,0.004284,0.0,0.000000,0.001256,0.000237,0.000000,0.005926,PASS,ea24205
parallel_local_accum,100000,90000,90000,90000,90000,0.000152,0.004269,0.0,0.000000,0.000845,0.000230,0.000000,0.005496,PASS,ea24205
sequential,1000000,900000,900000,900000,900000,0.000174,0.031683,0.0,0.0,0.003610,0.0,0.0,0.036412,PASS,ea24205
parallel_unpadded,1000000,900000,900000,900000,900000,0.000058,0.016160,0.0,0.000000,0.004765,0.000830,0.000000,0.021813,PASS,ea24205
parallel_padded,1000000,900000,900000,900000,900000,0.000065,0.018045,0.0,0.000000,0.004046,0.000937,0.000000,0.023093,PASS,ea24205
