n,threads,sparsity,reps,nnz,time_init,time_csr_construct,time_spmv_total,time_dense_total,verification,user
2000,8,95,1,200047,0.006894,0.002518,0.000119,0.000784,PASS,phoebus
2000,sequential,95,5,200047,0.025042,0.005744,0.000566,0.008499,PASS,phoebus
2000,2,95,5,200047,0.012125,0.003027,0.000299,0.004462,PASS,phoebus
2000,4,95,5,200047,0.006197,0.001924,0.000156,0.003093,PASS,phoebus
2000,8,95,5,200047,0.006623,0.002212,0.000794,0.004097,PASS,phoebus
2000,sequential,95,10,200047,0.023612,0.006175,0.001141,0.017164,PASS,phoebus
2000,2,95,10,200047,0.012096,0.003196,0.000602,0.009118,PASS,phoebus
2000,4,95,10,200047,0.011530,0.001839,0.000312,0.005665,PASS,phoebus
2000,8,95,10,200047,0.006229,0.002155,0.001670,0.009026,PASS,phoebus
2000,sequential,99,1,39860,0.026060,0.012418,0.000036,0.001710,PASS,phoebus
2000,2,99,1,39860,0.012656,0.002731,0.000022,0.000947,PASS,phoebus
2000,4,99,1,39860,0.007271,0.001983,0.000017,0.000862,PASS,phoebus
2000,8,99,1,39860,0.005771,0.001918,0.000191,0.000792,PASS,phoebus
2000,sequential,99,5,39860,0.022749,0.004192,0.000154,0.008545,PASS,phoebus
2000,2,99,5,39860,0.011703,0.002284,0.000087,0.005038,PASS,phoebus
2000,4,99,5,39860,0.006127,0.002060,0.000090,0.004333,PASS,phoebus
2000,8,99,5,39860,0.007119,0.001630,0.000793,0.004462,PASS,phoebus
2000,sequential,99,10,39860,0.021879,0.004240,0.000299,0.017042,PASS,phoebus
2000,2,99,10,39860,0.011804,0.002536,0.000198,0.013776,PASS,phoebus
2000,4,99,10,39860,0.007350,0.001979,0.000202,0.008707,PASS,phoebus
2000,8,99,10,39860,0.006384,0.001910,0.001441,0.009028,PASS,phoebus
4000,sequential,0,1,16000000,0.149583,0.058066,0.009051,0.006837,PASS,phoebus
4000,2,0,1,16000000,0.084130,0.031191,0.006599,0.003540,PASS,phoebus
4000,4,0,1,16000000,0.040180,0.018351,0.005075,0.002547,PASS,phoebus
4000,8,0,1,16000000,0.037149,0.018058,0.005067,0.003043,PASS,phoebus
